From.Grade,To.Grade,Is.Non.Annual.,Days,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Cancelled.Pax,Total.Discount.Pax,CRM.Segment,Parent.Meeting.Flag,Total.School.Enrollment,EZ.Pay.Take.Up.Rate,School.Sponsor,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,Retained.in.2012.
5,9,0,4,1449,8,5,0.667,5,1,10,1,300,0.167,0,12,13,1449,1,194,194,0.04,0.923076923,1,0
8,8,0,5,796,15,4,0.577,4,2,10,1,1306,0.269,0,26,28,796,1,153,153,0.019908116,0.928571429,2,1
7,8,0,5,1954,5,0,0.714,0,1,10,1,375,0,0,7,8,1954,1,320,320,0.018666667,0.875,1,0
8,8,1,5,2076,2,1,0.4,2,1,5,1,381,0,0,5,6,2076,1,158,158,0.01312336,0.833333333,1,0
11,12,1,5,1999,14,0,0.824,0,2,10,1,120,0.353,0,17,19,1999,1,168,168,0.141666667,0.894736842,2,0
8,8,0,5,1400,44,5,0.667,5,6,10,1,752,0.197,0,66,72,1400,1,193,193,0.087765957,0.916666667,6,1
8,9,0,5,2029,17,5,0.81,4,2,10,1,300,0.238,0,21,23,2029,2,377,174,0.07,0.913043478,2,0
7,8,1,5,1799,14,2,0.737,3,3,5,1,750,0.158,0,19,22,1799,1,188,188,0.025333333,0.863636364,3,1
8,8,0,5,763,7,3,0.389,4,2,2,1,220,0.056,0,18,20,763,2,334,173,0.081818182,0.9,2,0
8,8,0,5,1959,3,0,0.5,0,1,1,1,56,0,1,6,7,1959,1,185,185,0.107142857,0.857142857,1,1
5,7,0,5,2074,4,3,0.571,2,1,4,1,52,0,0,7,8,2074,1,152,152,0.134615385,0.875,1,0
7,8,0,5,2074,4,0,0.8,2,1,4,1,95,0.4,0,5,6,2074,1,150,150,0.052631579,0.833333333,1,0
8,8,0,6,2145,8,4,0.5,5,4,5,1,250,0.188,0,16,20,2145,2,311,192,0.064,0.8,4,1
8,8,0,4,1654,9,2,0.643,2,1,10,1,773,0.143,0,14,15,1654,1,166,166,0.018111255,0.933333333,1,1
8,8,0,5,1816,10,1,0.667,1,1,6,1,1050,0.2,0,15,16,1816,2,319,188,0.014285714,0.9375,1,1
8,8,0,4,1726,20,0,0.714,0,2,10,1,708,0.321,0,28,30,1726,1,186,186,0.039548023,0.933333333,2,1
8,8,1,5,2305,13,4,0.722,5,2,7,1,597,0.167,0,18,20,2305,1,202,202,0.030150754,0.9,2,0
6,9,1,5,1827,5,0,0.455,3,1,5,1,780,0.364,0,11,12,1827,2,194,180,0.014102564,0.916666667,1,0
7,8,1,5,1979,22,1,0.815,3,4,5,1,80,0.222,0,27,31,1979,2,202,195,0.3375,0.870967742,4,0
8,8,0,4,1656,34,3,0.654,4,3,10,1,831,0.327,0,52,55,1656,1,179,179,0.062575211,0.945454545,3,1
7,7,0,5,2141,15,10,1,10,4,6,1,3600,0.133,0,15,19,2141,1,166,166,0.004166667,0.789473684,4,1
7,8,0,5,1991,5,0,0.625,6,1,7,1,331,0.125,0,8,9,1991,1,180,180,0.024169184,0.888888889,1,0
5,5,0,5,2046,2,6,0.5,8,1,4,1,815,0,0,4,5,2046,1,214,214,0.004907975,0.8,1,0
8,9,1,5,1995,7,0,0.5,1,2,10,1,243,0.143,0,14,16,1995,2,307,174,0.057613169,0.875,2,0
8,8,0,5,1785,9,3,1,3,1,10,1,220,0.333,0,9,10,1785,1,186,186,0.040909091,0.9,1,0
5,6,1,5,1999,2,3,0.25,5,1,4,1,680,0,0,8,9,1999,1,172,172,0.011764706,0.888888889,1,0
5,5,0,5,1978,0,0,0,0,2,4,1,160,0,0,12,14,1978,1,165,165,0.075,0.857142857,2,1
7,8,1,3,799,13,0,0.394,2,3,10,1,285,0.303,0,33,36,799,1,154,154,0.115789474,0.916666667,3,0
8,8,0,6,2316,30,6,0.4,6,11,5,1,801,0.2,0,75,86,2316,1,216,216,0.093632959,0.872093023,11,1
8,8,0,5,2049,17,5,0.708,8,3,10,1,439,0.292,0,24,27,2049,1,167,167,0.054669704,0.888888889,3,1
4,5,1,1,395,12,0,0.188,5,2,4,1,530,0.063,1,64,66,395,2,194,182,0.120754717,0.96969697,2,0
7,8,1,3,1295,15,1,0.652,3,2,10,1,633,0.174,0,23,25,1295,1,203,203,0.036334913,0.92,2,0
7,8,0,4,1471,14,3,0.778,7,2,10,1,517,0.111,0,18,20,1471,1,203,203,0.034816248,0.9,2,1
8,8,0,4,1844,28,5,0.718,6,5,10,1,884,0.18,1,39,44,1844,1,327,327,0.044117647,0.886363636,5,1
7,8,0,5,2099,13,0,0.867,1,2,10,1,150,0.2,0,15,17,2099,2,369,168,0.1,0.882352941,2,0
8,12,0,5,1777,15,6,0.714,7,2,10,1,200,0.333,0,21,23,1777,2,350,154,0.105,0.913043478,2,0
7,8,0,5,2078,17,12,0.472,15,5,10,1,746,0.028,0,36,41,2078,1,202,202,0.048257373,0.87804878,5,1
9,12,0,4,1499,10,2,0.476,5,1,8,1,1138,0,0,21,22,1499,1,154,154,0.018453427,0.954545455,1,0
4,4,0,2,584,10,32,0.256,5,2,4,1,640,1.205,1,39,41,584,1,190,190,0.0609375,0.951219512,2,1
4,4,0,2,584,10,0,0.244,0,2,4,1,640,0.366,1,41,43,584,1,190,190,0.0640625,0.953488372,2,1
4,4,0,2,584,11,1,0.244,1,2,4,1,640,0.089,1,45,47,584,1,190,190,0.0703125,0.957446809,2,1
4,4,0,2,584,10,1,0.263,3,2,4,1,640,0.368,1,38,40,584,1,190,190,0.059375,0.95,2,1
8,8,0,3,1268,57,6,0.655,5,8,10,1,750,0.287,0,87,95,1268,1,182,182,0.116,0.915789474,8,1
8,8,0,5,1499,27,4,0.482,6,6,10,1,550,0.161,0,56,62,1499,1,195,195,0.101818182,0.903225806,6,1
8,8,0,5,680,33,2,0.569,5,4,10,1,376,0.138,1,58,62,680,1,168,168,0.154255319,0.935483871,4,1
4,4,0,1,385,40,6,0.769,7,2,5,1,798,0.096,1,52,54,385,1,163,163,0.065162907,0.962962963,2,1
4,4,0,1,375,17,2,0.315,5,2,4,1,519,0.204,0,54,56,375,1,162,162,0.104046243,0.964285714,2,1
8,8,0,3,1269,28,1,0.737,1,5,10,1,460,0.211,0,38,43,1269,1,191,191,0.082608696,0.88372093,5,1
8,8,0,3,1269,21,4,0.677,4,4,10,1,730,0.29,0,31,35,1269,1,196,196,0.042465753,0.885714286,4,1
9,10,1,4,1399,13,2,0.448,2,2,8,1,492,0.379,1,29,31,1399,2,353,148,0.058943089,0.935483871,2,0
7,8,0,4,1606,21,1,0.636,1,5,10,1,492,0.121,0,33,38,1606,2,211,204,0.067073171,0.868421053,5,1
10,12,1,5,1609,15,2,0.517,2,2,10,1,650,0.552,0,29,31,1609,2,343,205,0.044615385,0.935483871,2,0
6,8,0,3,463,19,0,0.452,0,2,10,1,482,0.214,0,42,44,463,1,143,143,0.087136929,0.954545455,2,0
5,5,0,1,392,0,0,0,3,2,5,1,320,0,1,42,44,392,1,183,183,0.13125,0.954545455,2,1
8,8,0,3,819,30,3,0.667,5,5,10,1,811,0.2,0,45,50,819,1,183,183,0.055487053,0.9,5,1
8,9,0,5,2233,13,5,0.722,6,2,5,1,800,0.167,0,18,20,2233,2,339,185,0.0225,0.9,2,0
8,9,1,6,2862,5,6,0.556,6,1,5,1,768,0,0,9,10,2862,1,190,190,0.01171875,0.9,1,0
8,8,0,3,1149,11,1,0.688,2,1,10,1,535,0.125,0,16,17,1149,2,326,200,0.029906542,0.941176471,1,1
8,8,0,3,1268,13,2,0.565,4,2,4,1,1057,0.174,0,23,25,1268,1,193,193,0.021759697,0.92,2,1
8,8,0,3,899,20,0,0.556,1,3,10,1,325,0.167,0,36,39,899,1,130,130,0.110769231,0.923076923,3,1
8,8,0,4,1324,34,5,0.654,6,6,10,1,1200,0.308,0,52,58,1324,2,317,193,0.043333333,0.896551724,6,1
7,9,0,4,1867,13,9,0.542,9,2,10,1,312,0.167,0,24,26,1867,1,179,179,0.076923077,0.923076923,2,1
7,7,1,4,1669,5,0,0.238,0,2,10,1,135,0.238,0,21,23,1669,2,338,197,0.155555556,0.913043478,2,0
8,8,0,4,1199,11,3,0.55,4,3,10,1,600,0.1,0,20,23,1199,1,199,199,0.033333333,0.869565217,3,1
8,8,0,4,1291,30,2,0.714,5,3,10,1,349,0.262,0,42,45,1291,2,344,150,0.12034384,0.933333333,3,1
8,8,0,4,1598,24,2,0.774,2,4,5,1,800,0.258,0,31,35,1598,1,198,198,0.03875,0.885714286,4,1
8,8,0,4,1556,26,2,0.765,3,4,5,1,808,0.353,0,34,38,1556,2,338,186,0.042079208,0.894736842,4,0
7,9,0,5,2044,19,1,0.594,1,2,5,1,715,0.344,0,32,34,2044,1,179,179,0.044755245,0.941176471,2,1
8,8,0,5,1938,73,15,0.399,26,22,5,1,900,0.322,0,183,205,1938,2,341,191,0.203333333,0.892682927,22,1
8,8,0,4,1901,16,2,0.615,4,3,5,1,1100,0.308,0,26,29,1901,2,339,186,0.023636364,0.896551724,3,1
7,9,1,5,2022,23,18,0.59,25,4,5,1,730,0.128,0,39,43,2022,2,345,172,0.053424658,0.906976744,4,0
7,8,0,5,2022,9,11,0.391,17,4,10,1,634,0.13,0,23,27,2022,1,179,179,0.036277603,0.851851852,4,1
7,8,0,5,1902,4,3,0.8,4,1,6,1,500,0.2,0,5,6,1902,1,194,194,0.01,0.833333333,1,0
8,8,0,5,1914,14,2,0.667,6,2,6,1,550,0.143,0,21,23,1914,1,186,186,0.038181818,0.913043478,2,1
9,12,1,5,2300,2,0,0.5,0,1,6,1,1361,0.25,0,4,5,2300,1,142,142,0.002939015,0.8,1,0
8,8,0,5,2099,7,7,0.438,8,2,5,1,992,0.25,0,16,18,2099,1,206,206,0.016129032,0.888888889,2,1
8,8,0,5,2193,11,4,0.786,5,1,5,1,843,0.286,0,14,15,2193,1,207,207,0.016607355,0.933333333,1,1
7,8,1,5,1974,5,3,0.556,2,1,10,1,450,0.222,0,9,10,1974,1,179,179,0.02,0.9,1,0
7,8,1,6,1968,19,2,0.679,2,2,10,1,275,0.25,1,28,30,1968,1,214,214,0.101818182,0.933333333,2,0
8,8,0,6,2242,27,8,0.75,8,6,5,1,810,0.361,0,36,42,2242,2,179,151,0.044444444,0.857142857,6,1
7,8,1,7,2499,25,4,0.676,5,4,5,1,986,0.324,0,37,41,2499,1,199,199,0.037525355,0.902439024,4,0
4,6,0,6,2299,13,2,0.929,2,3,4,1,528,0.071,0,14,17,2299,2,319,179,0.026515152,0.823529412,3,1
8,8,0,7,2082,33,2,0.674,3,3,5,1,1100,0.082,1,49,52,2082,1,214,214,0.044545455,0.942307692,3,1
9,11,0,7,2556,7,3,0.875,3,2,4,1,300,0.125,0,8,10,2556,1,193,193,0.026666667,0.8,2,0
9,12,1,7,2429,2,1,0.4,1,2,6,1,700,0.2,0,5,7,2429,2,388,200,0.007142857,0.714285714,2,0
4,5,0,7,2299,15,0,0.79,0,2,4,1,772,0.211,0,19,21,2299,2,333,186,0.024611399,0.904761905,2,1
8,8,0,10,2749,12,1,0.364,1,2,5,1,773,0.212,0,33,35,2749,1,205,205,0.042690815,0.942857143,2,0
7,8,0,4,1912,4,1,0.5,1,1,5,1,772,0.75,0,8,9,1912,1,173,173,0.010362694,0.888888889,1,1
8,8,0,4,1351,30,2,0.75,2,6,10,1,330,0.1,0,40,46,1351,1,345,345,0.121212121,0.869565217,6,1
8,8,0,5,1871,19,0,0.613,0,2,5,1,470,0.323,0,31,33,1871,1,192,192,0.065957447,0.939393939,2,1
8,12,0,5,1588,11,8,0.647,14,2,10,1,240,0.294,0,17,19,1588,2,310,205,0.070833333,0.894736842,2,1
5,7,0,5,2028,19,0,0.864,0,2,4,1,645,0.273,0,22,24,2028,1,178,178,0.034108527,0.916666667,2,1
8,8,0,5,2010,33,20,0.611,21,6,5,1,779,0.296,0,54,60,2010,2,395,180,0.069319641,0.9,6,1
8,8,1,5,1999,17,4,0.425,7,6,5,1,380,0.25,0,40,46,1999,2,382,173,0.105263158,0.869565217,6,0
8,8,0,5,1760,28,5,0.596,8,9,5,1,576,0.277,0,47,56,1760,2,187,172,0.081597222,0.839285714,9,1
6,8,0,6,827,24,3,0.686,4,6,10,1,405,0.029,0,35,41,827,1,178,178,0.086419753,0.853658537,6,1
8,8,0,3,1002,5,3,1,3,1,1,1,614,0,0,5,6,1002,2,342,195,0.008143322,0.833333333,1,0
8,8,0,3,1258,8,1,0.5,2,2,10,1,1040,0.25,0,16,18,1258,2,307,174,0.015384615,0.888888889,2,1
7,8,1,3,998,29,1,0.42,3,6,10,1,850,0.13,0,69,75,998,1,116,116,0.081176471,0.92,6,0
7,8,0,4,1644,0,1,0,1,1,5,1,597,0,0,7,8,1644,2,293,181,0.011725293,0.875,1,1
8,8,0,4,1145,14,1,0.452,2,4,10,1,330,0.161,1,31,35,1145,1,194,194,0.093939394,0.885714286,4,1
8,8,0,3,729,28,3,0.475,7,4,5,1,790,0.203,0,59,63,729,1,214,214,0.074683544,0.936507937,4,1
7,8,0,5,2081,8,3,0.5,6,1,5,1,923,0.313,0,16,17,2081,1,181,181,0.017334778,0.941176471,1,0
11,11,0,4,867,23,0,0.523,0,4,10,1,880,0.227,0,44,48,867,1,189,189,0.05,0.916666667,4,1
7,8,1,5,1914,22,1,0.415,5,3,5,1,456,0.113,1,53,56,1914,1,194,194,0.11622807,0.946428571,3,0
7,7,1,5,1868,28,2,0.718,3,4,7,1,240,0.077,0,39,43,1868,1,195,195,0.1625,0.906976744,4,1
8,8,0,5,828,15,2,0.306,4,5,10,1,806,0.265,0,49,54,828,1,179,179,0.060794045,0.907407407,5,1
6,8,0,5,1926,9,2,0.6,3,1,6,1,850,0.133,0,15,16,1926,1,188,188,0.017647059,0.9375,1,1
8,8,0,5,1699,33,2,0.674,2,3,5,1,155,0.163,0,49,52,1699,1,194,194,0.316129032,0.942307692,3,1
8,8,0,5,2008,4,0,0.5,2,1,10,1,175,0.25,0,8,9,2008,1,188,188,0.045714286,0.888888889,1,0
11,12,0,5,2049,8,2,0.364,2,2,10,1,149,0.773,0,22,24,2049,1,201,201,0.147651007,0.916666667,2,0
7,9,1,5,2373,3,1,0.6,1,1,5,1,1045,0,0,5,6,2373,1,160,160,0.004784689,0.833333333,1,0
7,8,0,6,2112,21,3,0.808,3,2,5,1,175,0.154,1,26,28,2112,1,195,195,0.148571429,0.928571429,2,1
8,8,0,6,1999,16,2,0.593,2,4,10,1,307,0.074,0,27,31,1999,1,201,201,0.087947883,0.870967742,4,1
11,12,1,6,2299,18,2,0.6,6,3,8,1,905,0.067,0,30,33,2299,1,207,207,0.033149171,0.909090909,3,1
8,8,0,6,2198,11,1,0.611,3,2,10,1,100,0.222,0,18,20,2198,1,194,194,0.18,0.9,2,1
11,12,0,5,2119,25,3,0.595,4,6,8,1,3200,0.286,0,42,48,2119,1,186,186,0.013125,0.875,6,1
9,12,0,5,2174,7,7,0.269,25,5,8,1,3200,0.077,0,26,31,2174,2,207,179,0.008125,0.838709677,5,1
7,8,0,3,1370,23,11,0.697,10,4,10,1,875,0.364,0,33,37,1370,2,337,201,0.037714286,0.891891892,4,1
9,10,1,3,1199,25,4,0.781,4,4,10,1,480,0.188,0,32,36,1199,2,309,188,0.066666667,0.888888889,4,1
8,8,0,3,1124,14,0,0.636,1,3,10,1,600,0.364,0,22,25,1124,1,210,210,0.036666667,0.88,3,1
8,8,1,4,1419,7,3,0.7,4,1,10,1,1250,0.1,0,10,11,1419,1,342,342,0.008,0.909090909,1,0
8,8,0,4,1350,15,2,0.79,3,2,3,1,400,0.316,0,19,21,1350,1,173,173,0.0475,0.904761905,2,1
8,8,0,4,598,83,3,0.417,5,26,5,1,1200,0.131,0,199,225,598,2,312,210,0.165833333,0.884444444,26,1
8,8,0,4,1449,6,4,0.75,4,1,5,1,600,0.125,0,8,9,1449,1,188,188,0.013333333,0.888888889,1,1
6,8,0,5,1999,5,0,0.556,3,1,5,1,700,0.333,0,9,10,1999,1,189,189,0.012857143,0.9,1,0
8,8,0,5,1965,23,4,0.677,4,4,5,1,1104,0.265,0,34,38,1965,1,168,168,0.030797101,0.894736842,4,1
5,6,0,5,1999,11,4,0.917,5,1,4,1,652,0.417,0,12,13,1999,2,314,216,0.018404908,0.923076923,1,0
6,8,0,4,979,10,3,0.556,9,1,10,1,210,0,0,18,19,979,1,168,168,0.085714286,0.947368421,1,1
4,4,0,1,172,0,0,0,0,2,5,1,410,0,1,35,37,172,1,183,183,0.085365854,0.945945946,2,1
7,8,1,3,1337,26,3,0.531,4,5,10,1,700,0.367,1,49,54,1337,1,197,197,0.07,0.907407407,5,0
7,8,1,4,1577,22,9,0.611,14,3,10,1,340,0.167,0,36,39,1577,1,209,209,0.105882353,0.923076923,3,0
7,8,1,3,1365,10,1,0.625,2,1,10,1,653,0.438,0,16,17,1365,1,182,182,0.024502297,0.941176471,1,0
11,12,1,4,737,42,2,0.56,3,11,8,1,1693,0.253,0,75,86,737,1,188,188,0.044300059,0.872093023,11,1
11,11,0,5,2224,4,3,0.667,4,1,8,1,1602,0.167,0,6,7,2224,1,195,195,0.003745318,0.857142857,1,0
7,8,0,3,1615,10,3,0.714,5,2,10,1,881,0,0,14,16,1615,2,303,205,0.015891033,0.875,2,0
8,8,0,3,1075,30,1,0.698,1,4,10,1,586,0.163,0,43,47,1075,1,191,191,0.07337884,0.914893617,4,1
5,11,1,3,1645,6,0,1,0,1,1,1,105,0,0,6,7,1645,2,199,161,0.057142857,0.857142857,1,0
8,8,0,3,420,20,9,0.625,10,3,10,1,607,0,0,32,35,420,1,189,189,0.052718287,0.914285714,3,0
7,9,0,3,374,5,1,0.143,2,2,2,1,450,0,0,35,37,374,1,80,80,0.077777778,0.945945946,2,0
8,8,0,3,1158,85,13,0.545,19,12,10,1,1050,0.314,0,156,168,1158,1,198,198,0.148571429,0.928571429,12,1
7,12,1,4,1812,8,3,0.8,3,1,5,1,520,0.5,0,10,11,1812,1,352,352,0.019230769,0.909090909,1,0
12,12,0,4,1508,8,0,0.727,0,1,10,1,126,0.091,0,11,12,1508,2,217,178,0.087301587,0.916666667,1,0
8,8,0,4,1396,11,7,1,9,1,4,1,594,0.273,0,11,12,1396,1,168,168,0.018518519,0.916666667,1,1
8,8,0,4,537,14,2,0.583,2,1,10,1,631,0.333,0,24,25,537,1,-188,-188,0.038034865,0.96,1,0
8,8,0,8,2636,34,3,0.515,8,4,5,1,620,0.318,0,66,70,2636,1,197,197,0.106451613,0.942857143,4,1
7,8,0,3,399,41,5,0.719,11,5,10,1,220,0.14,0,57,62,399,1,193,193,0.259090909,0.919354839,5,0
8,8,0,4,1767,21,2,0.477,3,3,5,1,920,0.091,0,44,47,1767,1,170,170,0.047826087,0.936170213,3,1
7,8,0,4,1888,11,1,0.55,1,1,5,1,400,0.15,0,20,21,1888,1,184,184,0.05,0.952380952,1,1
5,5,0,4,1999,6,3,0.857,4,1,4,1,987,0.429,0,7,8,1999,1,190,190,0.007092199,0.875,1,0
7,7,0,5,2140,42,5,0.793,5,5,6,1,936,0.17,0,53,58,2140,1,184,184,0.056623932,0.913793103,5,1
5,5,0,5,449,32,6,0.516,6,7,4,1,1072,0.129,0,62,69,449,1,218,218,0.057835821,0.898550725,7,1
7,8,0,5,1836,22,4,0.407,3,6,5,1,800,0.259,0,54,60,1836,1,211,211,0.0675,0.9,6,1
8,8,0,5,1929,12,2,0.5,1,3,5,1,730,0.083,0,24,27,1929,1,211,211,0.032876712,0.888888889,3,1
8,8,0,5,2139,43,8,0.717,10,5,5,1,1250,0.15,0,60,65,2139,1,199,199,0.048,0.923076923,5,1
8,8,0,5,1599,23,7,0.719,11,4,5,1,728,0.156,0,32,36,1599,1,318,318,0.043956044,0.888888889,4,1
8,8,0,5,1914,21,9,0.724,13,2,5,1,891,0.345,0,29,31,1914,2,309,185,0.032547699,0.935483871,2,1
8,8,0,6,2349,32,7,0.478,9,7,5,1,1381,0.119,0,67,74,2349,1,205,205,0.048515568,0.905405405,7,1
8,8,0,6,2498,13,3,0.5,6,1,5,1,611,0.039,0,26,27,2498,1,189,189,0.042553191,0.962962963,1,1
8,9,0,6,2010,32,8,0.64,10,3,5,1,1121,0.48,0,50,53,2010,1,191,191,0.044603033,0.943396226,3,1
8,8,0,6,2520,8,3,0.727,3,1,5,1,1035,0.364,0,11,12,2520,1,190,190,0.010628019,0.916666667,1,1
8,8,0,7,2587,8,3,0.364,3,2,5,1,741,0.273,0,22,24,2587,1,183,183,0.029689609,0.916666667,2,0
4,4,0,2,599,2,3,0.286,4,1,5,1,250,0.143,1,7,8,599,1,205,205,0.028,0.875,1,1
5,5,0,2,583,10,0,0.588,2,1,4,1,579,0.177,0,17,18,583,1,199,199,0.029360967,0.944444444,1,0
8,8,0,5,1998,29,1,0.644,3,2,5,1,1000,0.2,0,45,47,1998,1,185,185,0.045,0.957446809,2,1
7,8,1,5,1995,16,2,0.696,5,1,5,1,750,0.304,0,23,24,1995,1,185,185,0.030666667,0.958333333,1,0
8,8,0,5,1929,13,2,0.684,6,2,5,1,734,0.158,0,19,21,1929,1,201,201,0.025885559,0.904761905,2,1
7,9,0,5,2342,8,3,0.667,8,1,6,1,977,0.25,0,12,13,2342,2,324,292,0.012282497,0.923076923,1,0
7,8,0,5,2022,11,1,0.579,1,1,5,1,500,0.105,0,19,20,2022,1,186,186,0.038,0.95,1,0
7,8,0,5,1990,9,0,0.45,2,3,5,1,701,0.1,0,20,23,1990,2,317,185,0.02853067,0.869565217,3,0
8,8,0,5,2406,6,1,0.75,2,3,5,1,607,0.5,0,8,11,2406,1,166,166,0.013179572,0.727272727,3,0
7,8,0,5,2080,22,7,0.688,7,3,5,1,900,0.25,0,32,35,2080,1,184,184,0.035555556,0.914285714,3,1
6,8,1,5,2066,7,2,0.583,3,1,5,1,465,0.333,0,12,13,2066,2,394,185,0.025806452,0.923076923,1,1
8,8,1,5,2225,2,2,0.4,5,1,10,1,600,0,0,5,6,2225,2,312,193,0.008333333,0.833333333,1,0
8,8,0,5,2080,4,0,0.571,2,1,5,1,847,0,0,7,8,2080,2,346,171,0.008264463,0.875,1,0
8,8,0,5,2059,8,1,0.667,0,2,5,1,300,0.083,0,12,14,2059,1,191,191,0.04,0.857142857,2,0
8,8,0,5,1999,11,7,0.611,8,2,5,1,647,0.167,0,18,20,1999,1,184,184,0.027820711,0.9,2,1
8,8,0,6,2060,55,6,0.809,8,9,5,1,1110,0.162,0,68,77,2060,1,198,198,0.061261261,0.883116883,9,1
7,8,0,6,2049,26,1,0.591,1,3,5,1,770,0.114,0,44,47,2049,1,156,156,0.057142857,0.936170213,3,0
8,8,0,5,889,19,8,0.594,9,3,10,1,290,0.281,0,32,35,889,2,331,219,0.110344828,0.914285714,3,1
8,8,0,6,2371,14,14,0.583,14,1,5,1,500,0.292,0,24,25,2371,1,200,200,0.048,0.96,1,1
8,8,0,6,2204,11,0,0.44,0,2,5,1,296,0.28,0,25,27,2204,1,185,185,0.084459459,0.925925926,2,1
8,8,0,6,1999,48,2,0.615,1,10,5,1,1200,0.397,0,78,88,1999,1,198,198,0.065,0.886363636,10,1
7,8,0,8,2855,26,7,0.813,7,4,6,1,975,0.156,0,32,36,2855,1,194,194,0.032820513,0.888888889,4,1
8,8,0,8,2449,17,6,0.586,8,2,5,1,603,0.276,1,29,31,2449,1,185,185,0.048092869,0.935483871,2,1
7,8,1,4,1439,19,5,0.731,4,3,10,1,522,0.308,0,26,29,1439,1,194,194,0.049808429,0.896551724,3,0
8,8,0,4,1425,0,0,0,0,3,1,1,155,0,0,17,20,1425,1,187,187,0.109677419,0.85,3,0
8,8,0,5,2004,7,1,0.467,2,1,5,1,946,0.067,0,15,16,2004,1,185,185,0.015856237,0.9375,1,0
8,8,1,4,820,11,4,0.647,7,3,10,1,855,0,0,17,20,820,1,193,193,0.019883041,0.85,3,0
6,8,0,5,2080,6,3,0.667,6,2,5,1,710,0.111,0,9,11,2080,1,192,192,0.012676056,0.818181818,2,0
8,8,0,5,2049,4,1,0.333,1,1,5,1,415,0,0,12,13,2049,1,206,206,0.028915663,0.923076923,1,1
7,8,0,5,2094,10,1,0.345,1,4,5,1,803,0.172,0,29,33,2094,2,145,137,0.03611457,0.878787879,4,1
6,8,0,5,1879,44,6,0.564,8,7,10,1,1306,0.18,0,78,85,1879,2,319,200,0.059724349,0.917647059,7,0
6,8,0,5,1999,5,4,0.313,4,3,5,1,980,0.313,0,16,19,1999,2,311,201,0.016326531,0.842105263,3,0
6,8,0,5,1938,11,3,0.55,4,2,5,1,720,0.2,0,20,22,1938,2,318,187,0.027777778,0.909090909,2,0
7,8,0,5,803,16,11,0.516,18,2,10,1,708,0.258,0,31,33,803,1,186,186,0.043785311,0.939393939,2,0
7,8,1,5,1899,6,3,0.546,10,1,5,1,308,0.182,0,11,12,1899,2,353,180,0.035714286,0.916666667,1,0
8,8,0,5,2170,7,1,0.636,2,2,5,1,1050,0.273,0,11,13,2170,1,202,202,0.01047619,0.846153846,2,1
8,8,0,6,2149,13,3,0.448,8,2,5,1,658,0.138,0,29,31,2149,1,194,194,0.044072948,0.935483871,2,1
5,9,0,6,2150,7,3,0.5,5,3,5,1,490,0.286,0,14,17,2150,1,187,187,0.028571429,0.823529412,3,0
8,8,0,6,1799,19,3,0.576,4,6,5,1,1000,0.364,0,33,39,1799,1,214,214,0.033,0.846153846,6,1
8,8,1,6,2152,23,4,0.371,7,5,5,1,1200,0.29,0,62,67,2152,2,193,180,0.051666667,0.925373134,5,0
7,8,0,4,1699,10,2,0.714,4,2,2,1,1047,0.286,0,14,16,1699,1,215,215,0.013371538,0.875,2,1
8,8,0,5,1822,6,0,0.261,1,2,10,1,250,0.217,0,23,25,1822,1,202,202,0.092,0.92,2,1
6,8,0,6,2150,14,1,0.56,1,3,5,1,550,0.28,0,25,28,2150,1,187,187,0.045454545,0.892857143,3,0
7,8,0,5,2247,8,2,0.8,3,1,5,1,1300,0.2,0,10,11,2247,2,300,186,0.007692308,0.909090909,1,1
8,8,0,5,2424,26,9,0.565,11,4,5,1,1261,0.152,0,46,50,2424,1,194,194,0.036478985,0.92,4,1
8,8,0,6,2368,33,5,0.635,5,5,5,1,1135,0.173,0,52,57,2368,1,214,214,0.045814978,0.912280702,5,1
8,8,0,4,2043,8,0,0.5,0,2,10,1,225,0,0,16,18,2043,1,214,214,0.071111111,0.888888889,2,1
8,8,0,4,1507,58,2,0.558,2,5,5,1,900,0.394,0,104,109,1507,1,203,203,0.115555556,0.95412844,5,1
7,9,0,5,2054,7,2,0.636,2,1,6,1,714,0.091,0,11,12,2054,1,195,195,0.015406162,0.916666667,1,0
6,8,0,5,1982,5,2,0.417,3,1,6,1,530,0,0,12,13,1982,2,315,200,0.022641509,0.923076923,1,1
11,11,0,5,1819,25,8,0.893,8,4,5,1,350,0.286,0,28,32,1819,2,321,208,0.08,0.875,4,1
7,8,0,5,2022,8,3,0.727,3,1,5,1,643,0.455,0,11,12,2022,2,319,167,0.017107309,0.916666667,1,0
7,7,0,5,1950,8,0,0.471,1,2,6,1,580,0.294,0,17,19,1950,2,300,195,0.029310345,0.894736842,2,1
5,6,0,5,2025,9,5,0.6,8,2,4,1,581,0.133,0,15,17,2025,1,194,194,0.025817556,0.882352941,2,1
6,8,1,5,2638,4,0,0.571,0,1,5,1,428,0,1,7,8,2638,2,312,202,0.01635514,0.875,1,1
8,8,0,5,736,29,6,0.46,4,4,10,1,500,0.111,0,63,67,736,1,203,203,0.126,0.940298507,4,1
